"age","campaign_interest","vote_primary","vote_pres","right_track","ideology","govt_corrupt"
46,2,8,-1,1,6,2
37,3,10,-1,2,4,1
40,2,6,-1,2,2,3
41,3,-1,-1,2,3,4
72,2,8,-1,2,5,2
71,1,-1,-1,2,4,2
37,2,-1,-1,2,4,2
45,3,-1,-1,1,99,5
70,2,-1,1,2,99,4
43,2,-1,-1,1,99,4
37,2,-1,-1,2,99,2
55,2,-1,-1,2,4,4
30,2,-1,-1,2,6,2
38,1,1,1,2,3,2
41,2,-1,-1,1,4,4
66,1,-1,-1,2,6,2
54,1,-1,-1,2,3,4
55,1,4,1,2,3,4
62,1,-1,-1,2,2,4
80,2,1,-1,2,3,4
31,2,-1,-1,2,6,4
80,1,-1,-1,2,4,4
24,1,5,-1,2,2,2
55,1,9,-1,1,6,4
59,1,-1,-1,2,99,2
73,2,1,-1,2,2,4
72,1,-1,-1,2,99,3
50,3,-1,-1,1,5,2
66,1,-1,-1,2,5,4
41,2,1,-1,2,4,2
52,2,-1,-1,1,99,1
45,3,-1,-1,2,4,2
46,1,1,-1,2,2,3
66,1,8,-1,1,6,3
60,1,-1,-1,2,2,3
73,2,-1,-1,1,99,4
71,1,-1,-1,2,99,4
28,2,-1,-1,2,1,3
73,1,-1,-1,2,1,2
-9,1,8,-1,1,6,4
37,3,-1,-1,2,6,3
56,2,1,-1,2,4,3
48,1,-1,-1,1,7,4
53,1,-1,-1,1,7,3
72,2,-1,-1,2,3,2
55,2,8,-1,1,6,3
79,1,1,-1,2,2,3
38,2,5,-1,2,3,4
42,2,8,-1,1,4,2
70,1,1,-1,2,6,4
50,1,1,1,2,4,4
50,1,5,-1,2,2,4
27,2,1,-1,1,4,2
62,2,-1,-1,1,99,3
51,1,5,-1,1,4,2
60,2,8,-1,1,6,4
65,1,1,-1,2,3,3
-9,1,1,-1,2,3,4
48,2,-1,-1,2,4,3
55,2,8,-1,2,6,4
54,3,-1,-1,2,5,2
38,2,-1,-1,2,4,2
80,1,6,-1,2,2,3
37,1,-1,-1,2,2,2
38,2,-1,-1,2,2,4
60,1,1,-1,2,4,2
46,2,-1,-1,2,5,2
78,1,5,-1,2,1,3
39,2,6,-1,2,2,3
33,2,1,-1,2,2,3
74,1,1,-1,2,2,4
61,1,-1,-1,2,3,2
67,1,-1,1,2,99,4
60,1,-1,-1,2,99,4
-9,1,-1,-1,2,6,4
21,2,5,-1,2,99,2
49,2,-1,-1,2,4,3
80,1,1,-1,2,2,4
70,3,-1,-1,1,4,3
70,2,1,-1,2,5,2
72,2,-1,-1,1,5,4
78,1,8,-1,1,7,3
43,2,9,-1,2,2,3
45,1,-1,-1,2,99,2
44,2,6,-1,2,3,3
50,1,-1,-1,2,4,3
-9,3,-1,-1,2,4,2
33,2,5,-1,2,3,3
55,3,-1,-1,1,99,4
28,2,-1,-1,1,5,2
34,1,-1,-1,1,5,2
24,3,8,-1,2,2,2
26,1,8,-1,2,7,3
75,1,1,-1,2,3,4
61,1,8,-1,2,5,3
