"country_name","year","v2x_libdem","v2fsuffrage","e_migdppc","e_mipopula","e_pt_coup"
"Mexico",1981,0.136,100,10538,70004.097,0
"Mexico",1982,0.14,100,10240,71660.714,0
"Mexico",1983,0.146,100,9656,73317.331,0
"Mexico",1984,0.146,100,9777,74973.948,0
"Mexico",1985,0.146,100,9785,76630.565,0
"Mexico",1986,0.147,100,9283,78287.182,0
"Mexico",1987,0.149,100,9256,79943.799,0
"Mexico",1988,0.163,100,9193,81600.416,0
"Mexico",1989,0.183,100,9392,83257.033,0
"Mexico",1990,0.194,100,9699,84913.65,0
"Mexico",1991,0.206,100,10008.55,86414.947,0
"Mexico",1992,0.22,100,10262.21,87916.244,0
"Mexico",1993,0.224,100,10357.83,89417.541,0
"Mexico",1994,0.263,100,10721.01,90918.838,0
"Mexico",1995,0.284,100,9944.95,92420.135,0
"Mexico",1996,0.294,100,10386.5,93921.432,0
"Mexico",1997,0.338,100,11030.34,95422.729,0
"Mexico",1998,0.372,100,11510.88,96924.026,0
"Mexico",1999,0.373,100,11894.2,98425.323,0
"Mexico",2000,0.429,100,12613.4,99926.62,0
"Sweden",1981,0.871,100,23777,8335.326,0
"Sweden",1982,0.872,100,24002,8360.178,0
"Sweden",1983,0.873,100,24412,8385.031,0
"Sweden",1984,0.873,100,25357,8409.884,0
"Sweden",1985,0.873,100,25805,8434.736,0
"Sweden",1986,0.875,100,26309,8459.589,0
"Sweden",1987,0.875,100,27016,8484.442,0
"Sweden",1988,0.874,100,27468,8509.295,0
"Sweden",1989,0.876,100,27933,8534.147,0
"Sweden",1990,0.878,100,28068,8559,0
"Sweden",1991,0.878,100,27614.03,8590.3,0
"Sweden",1992,0.878,100,27198.53,8621.6,0
"Sweden",1993,0.877,100,26558.82,8652.9,0
"Sweden",1994,0.876,100,27505.96,8684.2,0
"Sweden",1995,0.877,100,28519.44,8715.5,0
"Sweden",1996,0.877,100,29012.1,8746.8,0
"Sweden",1997,0.877,100,29862.67,8778.1,0
"Sweden",1998,0.876,100,31187.16,8809.4,0
"Sweden",1999,0.876,100,32705.21,8840.7,0
"Sweden",2000,0.876,100,34202.6,8872,0
"Switzerland",1981,0.814,100,27729.58,6430.369,0
"Switzerland",1982,0.814,100,27660.95,6475.508,0
"Switzerland",1983,0.814,100,28009.33,6520.648,0
"Switzerland",1984,0.812,100,28315.08,6565.788,0
"Switzerland",1985,0.812,100,29416.75,6610.928,0
"Switzerland",1986,0.812,100,30847.99,6656.067,0
"Switzerland",1987,0.812,100,31774.37,6701.207,0
"Switzerland",1988,0.814,100,32482.91,6746.347,0
"Switzerland",1989,0.816,100,33315.59,6791.486,0
"Switzerland",1990,0.828,100,34250,6836.626,0
"Switzerland",1991,0.831,100,34128.64,6879.655,0
"Switzerland",1992,0.83,100,34356.8,6922.685,0
"Switzerland",1993,0.834,100,34625.53,6965.714,0
"Switzerland",1994,0.834,100,35423.83,7008.744,0
"Switzerland",1995,0.835,100,36004.23,7051.773,0
"Switzerland",1996,0.835,100,36720.49,7094.802,0
"Switzerland",1997,0.835,100,38165.48,7137.832,0
"Switzerland",1998,0.835,100,39890.54,7180.861,0
"Switzerland",1999,0.836,100,41091.64,7223.891,0
"Switzerland",2000,0.836,100,43251.1,7266.92,0
"Ghana",1981,0.192,0,1820,11456.7,2
"Ghana",1982,0.078,0,1661,11896.4,1
